10	2	1
10	3	1
10	4	1
10	5	1
10	6	1
10	7	1
6	8	5
6	9	1
6	10	1
6	11	1
6	12	1
6	13	1
6	14	1
15	8	1
15	9	1
15	10	1
15	11	1
15	12	1
15	13	1
11	14	5
11	15	1
11	16	1
11	17	1
11	18	1
11	19	1
11	20	1
20	2	1
20	3	1
20	4	1
20	5	1
20	6	1
20	7	1
20	14	1
20	15	1
20	16	1
20	17	1
20	18	1
20	19	1
25	8	1
25	9	1
25	10	1
25	11	1
25	12	1
25	13	1
25	14	20
29	15	1
29	16	1
29	17	1
29	19	1
29	20	1
30	8	5
34	9	1
34	10	1
34	11	1
34	12	1
34	13	1
39	2	1
39	3	1
39	4	1
39	5	1
39	6	1
39	7	1
44	8	1
44	9	1
44	10	1
44	11	1
44	12	1
44	13	1
49	2	1
49	3	1
49	4	1
49	5	1
49	6	1
49	7	1
54	8	15
54	9	1
54	10	1
54	11	1
54	12	1
54	13	1
59	14	5
63	15	1
63	16	1
63	17	1
63	18	1
63	19	1
63	20	1
68	9	1
68	10	1
68	11	1
68	12	1
68	13	1
68	14	6
